epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.03,0.6316,,,,,
0.06,0.2901,,,,,
0.09,0.2543,,,,,
0.12,0.1997,,,,,
0.15,0.1043,,,,,
0.18,0.1829,,,,,
0.21,0.1497,,,,,
0.24,0.1475,,,,,
0.28,0.1126,,,,,
0.31,0.1345,,,,,
0.34,0.1428,,,,,
0.37,0.1333,,,,,
0.4,0.1211,,,,,
0.43,0.141,,,,,
0.46,0.1056,,,,,
0.49,0.1081,,,,,
0.52,0.0923,,,,,
0.55,0.123,,,,,
0.58,0.101,,,,,
0.61,0.1171,,,,,
0.64,0.0927,,,,,
0.67,0.1332,,,,,
0.7,0.0952,,,,,
0.73,0.0904,,,,,
0.76,0.0831,,,,,
0.8,0.0957,,,,,
0.83,0.1176,,,,,
0.86,0.0901,,,,,
0.89,0.0947,,,,,
0.92,0.1057,,,,,
0.95,0.088,,,,,
0.98,0.1262,,,,,
1.0,,0.1606360375881195,0.49958088851634536,0.5326184092940125,0.5155709342560554,0.94269417188793
1.01,0.0965,,,,,
1.04,0.0829,,,,,
1.07,0.0728,,,,,
1.1,0.0571,,,,,
1.13,0.0678,,,,,
1.16,0.0471,,,,,
1.19,0.0509,,,,,
1.22,0.0595,,,,,
1.25,0.0642,,,,,
1.28,0.054,,,,,
1.32,0.049,,,,,
1.35,0.0704,,,,,
1.38,0.082,,,,,
1.41,0.0939,,,,,
1.44,0.0541,,,,,
1.47,0.0518,,,,,
1.5,0.0788,,,,,
1.53,0.0638,,,,,
1.56,0.0578,,,,,
1.59,0.0548,,,,,
1.62,0.0614,,,,,
1.65,0.0685,,,,,
1.68,0.0531,,,,,
1.71,0.077,,,,,
1.74,0.0572,,,,,
1.77,0.0526,,,,,
1.8,0.0418,,,,,
1.84,0.0666,,,,,
1.87,0.0685,,,,,
1.9,0.0691,,,,,
1.93,0.0486,,,,,
1.96,0.0443,,,,,
1.99,0.0713,,,,,
2.0,,0.1621880978345871,0.5538707102952913,0.6201966041108132,0.5851602023608768,0.946831776805769
2.02,0.0362,,,,,
2.05,0.0327,,,,,
2.08,0.0264,,,,,
2.11,0.0334,,,,,
2.14,0.0181,,,,,
2.17,0.0337,,,,,
2.2,0.0462,,,,,
2.23,0.0231,,,,,
2.26,0.028,,,,,
2.29,0.025,,,,,
2.33,0.064,,,,,
2.36,0.0482,,,,,
2.39,0.0327,,,,,
2.42,0.0253,,,,,
2.45,0.0409,,,,,
2.48,0.0512,,,,,
2.51,0.0342,,,,,
2.54,0.0479,,,,,
2.57,0.0456,,,,,
2.6,0.04,,,,,
2.63,0.0298,,,,,
2.66,0.0359,,,,,
2.69,0.0161,,,,,
2.72,0.0577,,,,,
2.75,0.0254,,,,,
2.78,0.0354,,,,,
2.81,0.0468,,,,,
2.85,0.024,,,,,
2.88,0.0192,,,,,
2.91,0.0377,,,,,
2.94,0.0446,,,,,
2.97,0.025,,,,,
3.0,0.0438,0.17072772979736328,0.5885167464114832,0.6595174262734584,0.6219974715549936,0.9532155101075778
3.03,0.0153,,,,,
3.06,0.0428,,,,,
3.09,0.0139,,,,,
3.12,0.0174,,,,,
3.15,0.0185,,,,,
3.18,0.034,,,,,
3.21,0.011,,,,,
3.24,0.0114,,,,,
3.27,0.0145,,,,,
3.3,0.018,,,,,
3.33,0.0399,,,,,
3.37,0.0375,,,,,
3.4,0.0173,,,,,
3.43,0.0102,,,,,
3.46,0.0171,,,,,
3.49,0.0199,,,,,
3.52,0.0273,,,,,
3.55,0.0363,,,,,
3.58,0.0311,,,,,
3.61,0.0233,,,,,
3.64,0.015,,,,,
3.67,0.0157,,,,,
3.7,0.0169,,,,,
3.73,0.0281,,,,,
3.76,0.0147,,,,,
3.79,0.0207,,,,,
3.82,0.033,,,,,
3.85,0.0322,,,,,
3.89,0.0162,,,,,
3.92,0.0246,,,,,
3.95,0.0146,,,,,
3.98,0.0174,,,,,
4.0,,0.2256910651922226,0.6143682906688687,0.6648793565683646,0.63862660944206,0.9512353706111834
4.01,0.0231,,,,,
4.04,0.0161,,,,,
4.07,0.0081,,,,,
4.1,0.0111,,,,,
4.13,0.0128,,,,,
4.16,0.0351,,,,,
4.19,0.0099,,,,,
4.22,0.0078,,,,,
4.25,0.0133,,,,,
4.28,0.0183,,,,,
4.31,0.0113,,,,,
4.34,0.014,,,,,
4.37,0.0063,,,,,
4.41,0.0062,,,,,
4.44,0.0176,,,,,
4.47,0.0075,,,,,
4.5,0.0092,,,,,
4.53,0.0114,,,,,
4.56,0.0112,,,,,
4.59,0.0232,,,,,
4.62,0.0128,,,,,
4.65,0.0115,,,,,
4.68,0.0249,,,,,
4.71,0.0202,,,,,
4.74,0.0097,,,,,
4.77,0.0104,,,,,
4.8,0.0147,,,,,
4.83,0.0163,,,,,
4.86,0.0394,,,,,
4.89,0.0162,,,,,
4.93,0.0088,,,,,
4.96,0.0129,,,,,
4.99,0.0165,,,,,
5.0,,0.2384902685880661,0.5758998435054773,0.6577301161751564,0.6141009595327493,0.9516491311029672
5.02,0.0146,,,,,
5.05,0.007,,,,,
5.08,0.0026,,,,,
5.11,0.0039,,,,,
5.14,0.0036,,,,,
5.17,0.0156,,,,,
5.2,0.003,,,,,
5.23,0.0181,,,,,
5.26,0.005,,,,,
5.29,0.0051,,,,,
5.32,0.0117,,,,,
5.35,0.0095,,,,,
5.38,0.0153,,,,,
5.41,0.008,,,,,
5.45,0.0058,,,,,
5.48,0.0219,,,,,
5.51,0.0093,,,,,
5.54,0.0113,,,,,
5.57,0.0081,,,,,
5.6,0.0081,,,,,
5.63,0.0038,,,,,
5.66,0.0089,,,,,
5.69,0.0071,,,,,
5.72,0.0078,,,,,
5.75,0.0066,,,,,
5.78,0.0142,,,,,
5.81,0.0078,,,,,
5.84,0.0071,,,,,
5.87,0.0102,,,,,
5.9,0.0029,,,,,
5.93,0.0226,,,,,
5.97,0.0058,,,,,
6.0,0.0079,0.30887794494628906,0.6065442936951316,0.6791778373547811,0.6408094435075885,0.9486345903771132
6.03,0.0049,,,,,
6.06,0.0063,,,,,
6.09,0.0058,,,,,
6.12,0.0008,,,,,
6.15,0.0061,,,,,
6.18,0.0048,,,,,
6.21,0.0019,,,,,
6.24,0.0011,,,,,
6.27,0.0068,,,,,
6.3,0.0046,,,,,
6.33,0.003,,,,,
6.36,0.0112,,,,,
6.39,0.0134,,,,,
6.42,0.0068,,,,,
6.46,0.0044,,,,,
6.49,0.0061,,,,,
6.52,0.01,,,,,
6.55,0.006,,,,,
6.58,0.0059,,,,,
6.61,0.0055,,,,,
6.64,0.0126,,,,,
6.67,0.0011,,,,,
6.7,0.0147,,,,,
6.73,0.0044,,,,,
6.76,0.0067,,,,,
6.79,0.0031,,,,,
6.82,0.0071,,,,,
6.85,0.0054,,,,,
6.88,0.0048,,,,,
6.91,0.0112,,,,,
6.94,0.0097,,,,,
6.98,0.0022,,,,,
7.0,,0.3112800419330597,0.624053826745164,0.6630920464700626,0.6429809358752167,0.9514422508570753
7.01,0.0026,,,,,
7.04,0.0081,,,,,
7.07,0.0068,,,,,
7.1,0.0072,,,,,
7.13,0.0036,,,,,
7.16,0.003,,,,,
7.19,0.0033,,,,,
7.22,0.003,,,,,
7.25,0.0119,,,,,
7.28,0.0111,,,,,
7.31,0.0016,,,,,
7.34,0.0171,,,,,
7.37,0.0123,,,,,
7.4,0.0032,,,,,
7.43,0.0017,,,,,
7.46,0.0038,,,,,
7.5,0.0054,,,,,
7.53,0.001,,,,,
7.56,0.0033,,,,,
7.59,0.0052,,,,,
7.62,0.0328,,,,,
7.65,0.0025,,,,,
7.68,0.004,,,,,
7.71,0.0018,,,,,
7.74,0.0059,,,,,
7.77,0.0059,,,,,
7.8,0.0023,,,,,
7.83,0.0096,,,,,
7.86,0.0019,,,,,
7.89,0.0025,,,,,
7.92,0.0048,,,,,
7.95,0.0015,,,,,
7.98,0.0018,,,,,
8.0,,0.34098199009895325,0.6361344537815126,0.676496872207328,0.6556951061065397,0.9520037829530678
8.02,0.0052,,,,,
8.05,0.0022,,,,,
8.08,0.0054,,,,,
8.11,0.0006,,,,,
8.14,0.0013,,,,,
8.17,0.0038,,,,,
8.2,0.0011,,,,,
8.23,0.0013,,,,,
8.26,0.0041,,,,,
8.29,0.0079,,,,,
8.32,0.0029,,,,,
8.35,0.0011,,,,,
8.38,0.0089,,,,,
8.41,0.0041,,,,,
8.44,0.0026,,,,,
8.47,0.0056,,,,,
8.5,0.0028,,,,,
8.54,0.0006,,,,,
8.57,0.0099,,,,,
8.6,0.0016,,,,,
8.63,0.0008,,,,,
8.66,0.0036,,,,,
8.69,0.002,,,,,
8.72,0.0042,,,,,
8.75,0.0076,,,,,
8.78,0.0068,,,,,
8.81,0.0051,,,,,
8.84,0.0016,,,,,
8.87,0.0007,,,,,
8.9,0.009,,,,,
8.93,0.0007,,,,,
8.96,0.0071,,,,,
8.99,0.002,,,,,
9.0,,0.3742940425872803,0.6271050521251003,0.6988382484361036,0.6610312764158918,0.950466958269299
9.02,0.0011,,,,,
9.06,0.0015,,,,,
9.09,0.0042,,,,,
9.12,0.0026,,,,,
9.15,0.0009,,,,,
9.18,0.0013,,,,,
9.21,0.001,,,,,
9.24,0.0043,,,,,
9.27,0.0027,,,,,
9.3,0.0028,,,,,
9.33,0.0023,,,,,
9.36,0.0038,,,,,
9.39,0.0009,,,,,
9.42,0.0014,,,,,
9.45,0.0042,,,,,
9.48,0.0041,,,,,
9.51,0.0062,,,,,
9.54,0.0038,,,,,
9.58,0.0122,,,,,
9.61,0.0046,,,,,
9.64,0.0003,,,,,
9.67,0.0058,,,,,
9.7,0.0006,,,,,
9.73,0.0033,,,,,
9.76,0.0026,,,,,
9.79,0.0004,,,,,
9.82,0.0038,,,,,
9.85,0.0024,,,,,
9.88,0.0005,,,,,
9.91,0.0048,,,,,
9.94,0.0004,,,,,
9.97,0.015,,,,,
10.0,0.0019,0.3614003360271454,0.6207455429497569,0.6845397676496873,0.6510837229069274,0.9505851755526658
10.03,0.0002,,,,,
10.07,0.0057,,,,,
10.1,0.0007,,,,,
10.13,0.0036,,,,,
10.16,0.0038,,,,,
10.19,0.0012,,,,,
10.22,0.0015,,,,,
10.25,0.0004,,,,,
10.28,0.0007,,,,,
10.31,0.0004,,,,,
10.34,0.0034,,,,,
10.37,0.0026,,,,,
10.4,0.0004,,,,,
10.43,0.0025,,,,,
10.46,0.0007,,,,,
10.49,0.0002,,,,,
10.52,0.0012,,,,,
10.55,0.0025,,,,,
10.59,0.004,,,,,
10.62,0.0023,,,,,
10.65,0.0008,,,,,
10.68,0.0025,,,,,
10.71,0.0009,,,,,
10.74,0.0022,,,,,
10.77,0.0008,,,,,
10.8,0.0014,,,,,
10.83,0.0039,,,,,
10.86,0.0042,,,,,
10.89,0.0013,,,,,
10.92,0.002,,,,,
10.95,0.0022,,,,,
10.98,0.0003,,,,,
11.0,,0.3742534816265106,0.6385846672283066,0.677390527256479,0.6574154379878577,0.9538657051660953
11.01,0.0017,,,,,
11.04,0.0009,,,,,
11.07,0.0013,,,,,
11.11,0.0034,,,,,
11.14,0.0001,,,,,
11.17,0.0004,,,,,
11.2,0.0015,,,,,
11.23,0.0022,,,,,
11.26,0.0005,,,,,
11.29,0.0002,,,,,
11.32,0.0057,,,,,
11.35,0.0018,,,,,
11.38,0.0006,,,,,
11.41,0.002,,,,,
11.44,0.0016,,,,,
11.47,0.0119,,,,,
11.5,0.0047,,,,,
11.53,0.0014,,,,,
11.56,0.0005,,,,,
11.59,0.0033,,,,,
11.63,0.0005,,,,,
11.66,0.0009,,,,,
11.69,0.0054,,,,,
11.72,0.0009,,,,,
11.75,0.0037,,,,,
11.78,0.0059,,,,,
11.81,0.0017,,,,,
11.84,0.0085,,,,,
11.87,0.001,,,,,
11.9,0.0006,,,,,
11.93,0.0004,,,,,
11.96,0.0005,,,,,
11.99,0.0032,,,,,
12.0,,0.39984065294265747,0.6229372937293729,0.6747095621090259,0.6477906477906478,0.9503191866650904
