epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,1.8638,,,,,
0.04,0.8925,,,,,
0.06,0.6185,,,,,
0.09,0.5557,,,,,
0.11,0.566,,,,,
0.13,0.511,,,,,
0.15,0.4915,,,,,
0.17,0.4109,,,,,
0.19,0.3995,,,,,
0.21,0.417,,,,,
0.24,0.4197,,,,,
0.26,0.3918,,,,,
0.28,0.3981,,,,,
0.3,0.3212,,,,,
0.32,0.3445,,,,,
0.34,0.3801,,,,,
0.36,0.2824,,,,,
0.39,0.3308,,,,,
0.41,0.2445,,,,,
0.43,0.3196,,,,,
0.45,0.3237,,,,,
0.47,0.3418,,,,,
0.49,0.2746,,,,,
0.51,0.3607,,,,,
0.54,0.3255,,,,,
0.56,0.2443,,,,,
0.58,0.2736,,,,,
0.6,0.3041,,,,,
0.62,0.2789,,,,,
0.64,0.2618,,,,,
0.66,0.2613,,,,,
0.69,0.2431,,,,,
0.71,0.2264,,,,,
0.73,0.2003,,,,,
0.75,0.2123,,,,,
0.77,0.2329,,,,,
0.79,0.2815,,,,,
0.82,0.3206,,,,,
0.84,0.2907,,,,,
0.86,0.2524,,,,,
0.88,0.2711,,,,,
0.9,0.2545,,,,,
0.92,0.2206,,,,,
0.94,0.2425,,,,,
0.97,0.2884,,,,,
0.99,0.2229,,,,,
1.0,,0.2757161855697632,0.38241839762611274,0.46006247211066487,0.4176625481061373,0.9273930829304574
1.01,0.1771,,,,,
1.03,0.2332,,,,,
1.05,0.1983,,,,,
1.07,0.2038,,,,,
1.09,0.152,,,,,
1.12,0.1934,,,,,
1.14,0.2081,,,,,
1.16,0.1624,,,,,
1.18,0.2185,,,,,
1.2,0.187,,,,,
1.22,0.1749,,,,,
1.24,0.1928,,,,,
1.27,0.2184,,,,,
1.29,0.1365,,,,,
1.31,0.1798,,,,,
1.33,0.2074,,,,,
1.35,0.156,,,,,
1.37,0.2031,,,,,
1.39,0.1787,,,,,
1.42,0.1948,,,,,
1.44,0.1858,,,,,
1.46,0.1501,,,,,
1.48,0.1686,,,,,
1.5,0.15,,,,,
1.52,0.2024,,,,,
1.54,0.1429,,,,,
1.57,0.1544,,,,,
1.59,0.2264,,,,,
1.61,0.2053,,,,,
1.63,0.1979,,,,,
1.65,0.1471,,,,,
1.67,0.1529,,,,,
1.69,0.1661,,,,,
1.72,0.1622,,,,,
1.74,0.2026,,,,,
1.76,0.1896,,,,,
1.78,0.1538,,,,,
1.8,0.1746,,,,,
1.82,0.1579,,,,,
1.84,0.1791,,,,,
1.87,0.1716,,,,,
1.89,0.1554,,,,,
1.91,0.1839,,,,,
1.93,0.1909,,,,,
1.95,0.1917,,,,,
1.97,0.1672,,,,,
1.99,0.1706,,,,,
2.0,,0.22841770946979523,0.4659390289800527,0.5524319500223115,0.5055124540628829,0.9368240981777612
2.02,0.1423,,,,,
2.04,0.1039,,,,,
2.06,0.1408,,,,,
2.08,0.1163,,,,,
2.1,0.1122,,,,,
2.12,0.1026,,,,,
2.14,0.1046,,,,,
2.17,0.1482,,,,,
2.19,0.1579,,,,,
2.21,0.1051,,,,,
2.23,0.1161,,,,,
2.25,0.1227,,,,,
2.27,0.1171,,,,,
2.29,0.096,,,,,
2.32,0.1074,,,,,
2.34,0.1507,,,,,
2.36,0.1047,,,,,
2.38,0.0835,,,,,
2.4,0.1323,,,,,
2.42,0.1433,,,,,
2.45,0.1723,,,,,
2.47,0.1034,,,,,
2.49,0.1357,,,,,
2.51,0.1249,,,,,
2.53,0.1438,,,,,
2.55,0.1055,,,,,
2.57,0.1421,,,,,
2.6,0.1339,,,,,
2.62,0.1231,,,,,
2.64,0.0923,,,,,
2.66,0.1211,,,,,
2.68,0.1394,,,,,
2.7,0.1098,,,,,
2.72,0.1247,,,,,
2.75,0.0813,,,,,
2.77,0.0953,,,,,
2.79,0.1167,,,,,
2.81,0.1106,,,,,
2.83,0.0994,,,,,
2.85,0.1065,,,,,
2.87,0.1179,,,,,
2.9,0.1347,,,,,
2.92,0.1062,,,,,
2.94,0.119,,,,,
2.96,0.1178,,,,,
2.98,0.1404,,,,,
3.0,0.0998,0.23812253773212433,0.48063445223164886,0.5814368585452923,0.5262520193861067,0.9394719226478244
3.02,0.0959,,,,,
3.05,0.0808,,,,,
3.07,0.0702,,,,,
3.09,0.0791,,,,,
3.11,0.1057,,,,,
3.13,0.0626,,,,,
3.15,0.0486,,,,,
3.17,0.0891,,,,,
3.2,0.0747,,,,,
3.22,0.1031,,,,,
3.24,0.0626,,,,,
3.26,0.08,,,,,
3.28,0.0642,,,,,
3.3,0.0561,,,,,
3.32,0.0814,,,,,
3.35,0.095,,,,,
3.37,0.0962,,,,,
3.39,0.1085,,,,,
3.41,0.1092,,,,,
3.43,0.1062,,,,,
3.45,0.0708,,,,,
3.47,0.0705,,,,,
3.5,0.0904,,,,,
3.52,0.083,,,,,
3.54,0.0734,,,,,
3.56,0.0838,,,,,
3.58,0.0526,,,,,
3.6,0.1102,,,,,
3.62,0.0875,,,,,
3.65,0.1152,,,,,
3.67,0.0671,,,,,
3.69,0.0584,,,,,
3.71,0.1004,,,,,
3.73,0.068,,,,,
3.75,0.072,,,,,
3.77,0.0561,,,,,
3.8,0.0765,,,,,
3.82,0.0748,,,,,
3.84,0.0866,,,,,
3.86,0.0651,,,,,
3.88,0.0792,,,,,
3.9,0.0652,,,,,
3.92,0.0718,,,,,
3.95,0.0544,,,,,
3.97,0.0854,,,,,
3.99,0.0894,,,,,
4.0,,0.2506994307041168,0.5012872379551305,0.608210620258813,0.5495967741935484,0.940572703607289
4.01,0.0558,,,,,
4.03,0.049,,,,,
4.05,0.0393,,,,,
4.08,0.0474,,,,,
4.1,0.0422,,,,,
4.12,0.0541,,,,,
4.14,0.0373,,,,,
4.16,0.0576,,,,,
4.18,0.065,,,,,
4.2,0.0421,,,,,
4.23,0.0486,,,,,
4.25,0.0556,,,,,
4.27,0.0519,,,,,
4.29,0.0626,,,,,
4.31,0.0499,,,,,
4.33,0.0417,,,,,
4.35,0.0526,,,,,
4.38,0.066,,,,,
4.4,0.0498,,,,,
4.42,0.0398,,,,,
4.44,0.0455,,,,,
4.46,0.0358,,,,,
4.48,0.0582,,,,,
4.5,0.0354,,,,,
4.53,0.0585,,,,,
4.55,0.0612,,,,,
4.57,0.0425,,,,,
4.59,0.0424,,,,,
4.61,0.0719,,,,,
4.63,0.0412,,,,,
4.65,0.0637,,,,,
4.68,0.0529,,,,,
4.7,0.0506,,,,,
4.72,0.0289,,,,,
4.74,0.0412,,,,,
4.76,0.0489,,,,,
4.78,0.0571,,,,,
4.8,0.0489,,,,,
4.83,0.0623,,,,,
4.85,0.089,,,,,
4.87,0.0496,,,,,
4.89,0.0476,,,,,
4.91,0.0664,,,,,
4.93,0.058,,,,,
4.95,0.0339,,,,,
4.98,0.0544,,,,,
5.0,0.068,0.2674654722213745,0.5377245508982036,0.6010709504685409,0.5676359039190897,0.9428783934548159
5.02,0.0575,,,,,
5.04,0.0421,,,,,
5.06,0.045,,,,,
5.08,0.0307,,,,,
5.1,0.0242,,,,,
5.13,0.0209,,,,,
5.15,0.0255,,,,,
5.17,0.0149,,,,,
5.19,0.0388,,,,,
5.21,0.0287,,,,,
5.23,0.0294,,,,,
5.25,0.0489,,,,,
5.28,0.0251,,,,,
5.3,0.052,,,,,
5.32,0.036,,,,,
5.34,0.0541,,,,,
5.36,0.0302,,,,,
5.38,0.033,,,,,
5.4,0.0246,,,,,
5.43,0.054,,,,,
5.45,0.0384,,,,,
5.47,0.0427,,,,,
5.49,0.0514,,,,,
5.51,0.0256,,,,,
5.53,0.0222,,,,,
5.55,0.0433,,,,,
5.58,0.0468,,,,,
