best_epoch_by_valid_f1_curve_only,best_valid_f1_from_curve_only,note,train_time_sec,train_loss,train_precision,train_recall,train_f1,train_accuracy,valid_loss,valid_precision,valid_recall,valid_f1,valid_accuracy,test_loss,test_precision,test_recall,test_f1,test_accuracy,dlr_ratio,syn_ratio,sample_seed,dlr_total_used,train_real_size,valid_size,test_size,syn_total_used,train_final_size
18.0,0.675,No checkpoint saved. Final epoch model was evaluated.,1674.7194912433624,2.3681346647208557e-05,1.0,1.0,1.0,1.0,0.3552279472351074,0.6427432216905901,0.7033158813263525,0.6716666666666666,0.9555863983344899,0.36685433983802795,0.617056856187291,0.6865116279069767,0.6499339498018495,0.9541372868076899,0.5,0.0,11,3717,2230,743,744,0,2230
16.0,0.6625874125874126,No checkpoint saved. Final epoch model was evaluated.,1666.765643119812,0.00018049079517368227,0.9978826376285541,0.9987889797154103,0.9983356029656528,0.9999105936581102,0.31278640031814575,0.6114701130856219,0.7035315985130112,0.6542783059636993,0.9573707953616519,0.31147754192352295,0.6352459016393442,0.7189239332096475,0.6744995648389903,0.9585461099429258,0.5,0.0,55,3717,2230,743,744,0,2230
18.0,0.6423539162867801,No checkpoint saved. Final epoch model was evaluated.,1657.9371111392975,8.344667730852962e-05,0.9993836671802774,0.999691738594328,0.9995376791493297,0.9999900751312564,0.3688841760158539,0.596244131455399,0.6821844225604298,0.6363256784968685,0.95313769751693,0.39402148127555847,0.6342857142857142,0.6888297872340425,0.6604334891627709,0.9547515442899309,0.5,0.0,110,3717,2230,743,744,0,2230
19.95,0.6775762936753648,No checkpoint saved. Final epoch model was evaluated.,1008.6985197067261,0.00010075646423501894,0.9996946564885496,0.9996946564885496,0.9996946564885496,0.9999598078816744,0.29901251196861267,0.6378018318068276,0.7226415094339622,0.6775762936753648,0.9616961870691911,0.3213145434856415,0.6231766612641815,0.7048579285059579,0.661505376344086,0.9593541697526292,0.5,0.0,220,3717,2230,743,744,0,2230
16.0,0.6693476318141197,No checkpoint saved. Final epoch model was evaluated.,989.387458562851,9.130001853918657e-05,0.9996963255390222,1.0,0.9998481397114656,0.9999704057373411,0.3277270793914795,0.6364414029084687,0.6901669758812616,0.6622162883845126,0.9600700208251592,0.32997339963912964,0.6474464579901154,0.7158469945355191,0.679930795847751,0.9595641646489104,0.5,0.0,500,3717,2230,743,744,0,2230
19.95,0.6725146198830408,No checkpoint saved. Final epoch model was evaluated.,993.3986642360687,2.5688634195830673e-05,1.0,1.0,1.0,1.0,0.3755665719509125,0.6419457735247209,0.706140350877193,0.6725146198830408,0.9562621868906555,0.31854090094566345,0.6433915211970075,0.7173308619091752,0.6783523225241016,0.9603475421307365,0.5,0.0,600,3717,2230,743,744,0,2230
17.0,0.6475374732334048,No checkpoint saved. Final epoch model was evaluated.,978.3798987865448,3.451469819992781e-05,1.0,1.0,1.0,1.0,0.3703221380710602,0.6089430894308943,0.682771194165907,0.6437473141383755,0.9546908471989906,0.34704869985580444,0.6222935044105854,0.7099725526075022,0.6632478632478631,0.9570340826686005,0.5,0.0,800,3717,2230,743,744,0,2230
19.0,0.6798767062967856,No checkpoint saved. Final epoch model was evaluated.,973.0642838478088,4.159829768468626e-05,0.9996937212863706,0.9996937212863706,0.9996937212863706,0.9999900295126426,0.32339075207710266,0.6419650291423813,0.7152133580705009,0.676612549363756,0.9585288330558499,0.38161903619766235,0.6427378964941569,0.7136237256719185,0.676328502415459,0.9555914294100382,0.5,0.0,1500,3717,2230,743,744,0,2230
19.98,0.6959830866807611,No checkpoint saved. Final epoch model was evaluated.,2295.195972442627,5.3904996093478985e-06,1.0,1.0,1.0,1.0,0.36978721618652344,0.6751435602953241,0.7181500872600349,0.6959830866807611,0.9601122408955134,0.3911984860897064,0.6491525423728813,0.7125581395348837,0.679379157427938,0.9566986078466824,0.5,0.3,11,3717,2230,743,744,3279,5509
19.98,0.6915887850467289,No checkpoint saved. Final epoch model was evaluated.,2299.1726157665253,6.842317816335708e-05,0.9996810715994259,0.9995216836734694,0.9996013712827873,0.9999731102379408,0.3266837000846863,0.6635354397950469,0.7221189591078067,0.6915887850467289,0.962941657331436,0.322396457195282,0.6610312764158918,0.725417439703154,0.6917293233082706,0.9631420847101232,0.5,0.3,55,3717,2230,743,744,3279,5509
