epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.04,1.8275,,,,,
0.07,0.6695,,,,,
0.11,0.6287,,,,,
0.14,0.6027,,,,,
0.18,0.4964,,,,,
0.22,0.4389,,,,,
0.25,0.457,,,,,
0.29,0.4297,,,,,
0.32,0.4359,,,,,
0.36,0.444,,,,,
0.39,0.3864,,,,,
0.43,0.4125,,,,,
0.47,0.3635,,,,,
0.5,0.2934,,,,,
0.54,0.3908,,,,,
0.57,0.3408,,,,,
0.61,0.2689,,,,,
0.65,0.3515,,,,,
0.68,0.2733,,,,,
0.72,0.3546,,,,,
0.75,0.2656,,,,,
0.79,0.2886,,,,,
0.83,0.2766,,,,,
0.86,0.2714,,,,,
0.9,0.3366,,,,,
0.93,0.2888,,,,,
0.97,0.2677,,,,,
1.0,0.2646,0.25184112787246704,0.381120112715745,0.4729020979020979,0.4220791886093232,0.9309463693608737
1.04,0.2575,,,,,
1.08,0.2113,,,,,
1.11,0.1991,,,,,
1.15,0.2337,,,,,
1.18,0.2268,,,,,
1.22,0.2509,,,,,
1.26,0.1972,,,,,
1.29,0.2349,,,,,
1.33,0.2608,,,,,
1.36,0.2396,,,,,
1.4,0.2531,,,,,
1.43,0.2482,,,,,
1.47,0.2247,,,,,
1.51,0.1878,,,,,
1.54,0.2081,,,,,
1.58,0.1842,,,,,
1.61,0.2053,,,,,
1.65,0.2216,,,,,
1.69,0.1935,,,,,
1.72,0.249,,,,,
1.76,0.1941,,,,,
1.79,0.2022,,,,,
1.83,0.2537,,,,,
1.87,0.2328,,,,,
1.9,0.2593,,,,,
1.94,0.2058,,,,,
1.97,0.18,,,,,
2.0,,0.22481165826320648,0.4445247560534875,0.5375874125874126,0.486646884272997,0.9366197183098591
2.01,0.2037,,,,,
2.04,0.1474,,,,,
2.08,0.1368,,,,,
2.12,0.1353,,,,,
2.15,0.1786,,,,,
2.19,0.1657,,,,,
2.22,0.15,,,,,
2.26,0.1417,,,,,
