entity,precision,recall,f1,support
aeroway,0.7142857142857143,0.45454545454545453,0.5555555555555556,11
amenity,0.42857142857142855,0.46153846153846156,0.4444444444444445,52
boundary,0.6497175141242938,0.69,0.6692531522793405,500
bridge,0.0,0.0,0.0,0
building,0.4444444444444444,0.5333333333333333,0.4848484848484848,15
club,0.0,0.0,0.0,1
highway,0.5714285714285714,0.642570281124498,0.6049149338374291,249
junction,0.0,0.0,0.0,1
landuse,0.7142857142857143,0.7142857142857143,0.7142857142857143,7
leisure,0.43478260869565216,0.6666666666666666,0.5263157894736841,15
man_made,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
natural,0.5172413793103449,0.5172413793103449,0.5172413793103449,29
office,0.0,0.0,0.0,1
place,0.3125,0.36809815950920244,0.3380281690140845,163
railway,0.25,0.3333333333333333,0.28571428571428575,3
shop,0.25,0.125,0.16666666666666666,8
tourism,0.2857142857142857,0.3333333333333333,0.30769230769230765,6
waterway,0.6458333333333334,0.8157894736842105,0.7209302325581395,38
