entity,precision,recall,f1,support
aeroway,0.42857142857142855,0.5454545454545454,0.4799999999999999,11
amenity,0.32575757575757575,0.5,0.3944954128440367,86
boundary,0.6613333333333333,0.7237354085603113,0.6911286576869484,1028
bridge,0.0,0.0,0.0,3
building,0.5277777777777778,0.4634146341463415,0.4935064935064935,41
club,0.0,0.0,0.0,1
highway,0.6451612903225806,0.7422680412371134,0.6903163950143816,485
historic,0.0,0.0,0.0,1
junction,0.0,0.0,0.0,1
landuse,0.16666666666666666,0.17647058823529413,0.17142857142857143,17
leisure,0.43103448275862066,0.5,0.46296296296296297,50
man_made,0.16666666666666666,0.5,0.25,2
military,0.0,0.0,0.0,2
natural,0.4461538461538462,0.58,0.5043478260869565,50
office,0.0,0.0,0.0,4
place,0.4082125603864734,0.49415204678362573,0.4470899470899471,342
railway,0.16666666666666666,0.25,0.2,4
shop,0.25,0.2631578947368421,0.25641025641025644,19
tourism,0.16666666666666666,0.2857142857142857,0.2105263157894737,14
waterway,0.6736842105263158,0.7272727272727273,0.6994535519125683,88
