epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.01,1.7137,,,,,
0.03,0.4102,,,,,
0.04,0.3919,,,,,
0.06,0.2837,,,,,
0.07,0.2462,,,,,
0.09,0.3202,,,,,
0.1,0.2572,,,,,
0.12,0.2678,,,,,
0.13,0.1951,,,,,
0.15,0.2217,,,,,
0.16,0.1965,,,,,
0.17,0.148,,,,,
0.19,0.2017,,,,,
0.2,0.2413,,,,,
0.22,0.1972,,,,,
0.23,0.2138,,,,,
0.25,0.1679,,,,,
0.26,0.1675,,,,,
0.28,0.1875,,,,,
0.29,0.185,,,,,
0.3,0.1587,,,,,
0.32,0.2003,,,,,
0.33,0.179,,,,,
0.35,0.16,,,,,
0.36,0.1397,,,,,
0.38,0.1697,,,,,
0.39,0.149,,,,,
0.41,0.1926,,,,,
0.42,0.158,,,,,
0.44,0.1569,,,,,
0.45,0.1648,,,,,
0.46,0.1458,,,,,
0.48,0.1708,,,,,
0.49,0.2038,,,,,
0.51,0.1471,,,,,
0.52,0.1381,,,,,
0.54,0.1443,,,,,
0.55,0.1448,,,,,
0.57,0.1371,,,,,
0.58,0.1576,,,,,
0.6,0.1088,,,,,
0.61,0.136,,,,,
0.62,0.1351,,,,,
0.64,0.143,,,,,
0.65,0.1437,,,,,
0.67,0.115,,,,,
0.68,0.1223,,,,,
0.7,0.128,,,,,
0.71,0.1365,,,,,
0.73,0.1659,,,,,
0.74,0.1593,,,,,
0.76,0.1429,,,,,
0.77,0.1395,,,,,
0.78,0.1267,,,,,
0.8,0.1362,,,,,
0.81,0.1596,,,,,
0.83,0.1873,,,,,
0.84,0.1322,,,,,
0.86,0.1468,,,,,
0.87,0.121,,,,,
0.89,0.1331,,,,,
0.9,0.1285,,,,,
0.91,0.1462,,,,,
0.93,0.125,,,,,
0.94,0.1373,,,,,
0.96,0.1407,,,,,
0.97,0.1555,,,,,
0.99,0.1032,,,,,
1.0,0.1459,0.25192296504974365,0.43328161365399537,0.49490474080638014,0.4620475698035161,0.9324925264363372
1.02,0.0865,,,,,
1.03,0.0787,,,,,
1.05,0.1021,,,,,
1.06,0.1003,,,,,
1.07,0.0991,,,,,
1.09,0.087,,,,,
1.1,0.0758,,,,,
1.12,0.1006,,,,,
1.13,0.1189,,,,,
1.15,0.0909,,,,,
1.16,0.0934,,,,,
1.18,0.1125,,,,,
1.19,0.0868,,,,,
1.21,0.0867,,,,,
1.22,0.0975,,,,,
1.23,0.0829,,,,,
1.25,0.0839,,,,,
1.26,0.0956,,,,,
1.28,0.0889,,,,,
1.29,0.0943,,,,,
1.31,0.0907,,,,,
1.32,0.0949,,,,,
1.34,0.1341,,,,,
1.35,0.1062,,,,,
1.37,0.0841,,,,,
1.38,0.087,,,,,
1.39,0.0964,,,,,
1.41,0.104,,,,,
1.42,0.0715,,,,,
1.44,0.0979,,,,,
1.45,0.0944,,,,,
1.47,0.1101,,,,,
1.48,0.0988,,,,,
1.5,0.1146,,,,,
1.51,0.0858,,,,,
1.52,0.0858,,,,,
1.54,0.1007,,,,,
1.55,0.0856,,,,,
1.57,0.1053,,,,,
1.58,0.0887,,,,,
1.6,0.0856,,,,,
1.61,0.1123,,,,,
1.63,0.0769,,,,,
1.64,0.0676,,,,,
1.66,0.1089,,,,,
1.67,0.0839,,,,,
1.68,0.0936,,,,,
1.7,0.1141,,,,,
1.71,0.0706,,,,,
1.73,0.0884,,,,,
1.74,0.1131,,,,,
1.76,0.0642,,,,,
1.77,0.1185,,,,,
1.79,0.0907,,,,,
1.8,0.0971,,,,,
1.82,0.1134,,,,,
1.83,0.1273,,,,,
1.84,0.1288,,,,,
1.86,0.1087,,,,,
1.87,0.0897,,,,,
1.89,0.1093,,,,,
1.9,0.1174,,,,,
1.92,0.0933,,,,,
1.93,0.0704,,,,,
1.95,0.0979,,,,,
1.96,0.0824,,,,,
1.97,0.0882,,,,,
1.99,0.1061,,,,,
2.0,0.0818,0.23736974596977234,0.5069748903945795,0.5635799734160389,0.5337809483843894,0.941683894284397
2.02,0.0709,,,,,
2.03,0.0705,,,,,
2.05,0.0506,,,,,
2.06,0.0724,,,,,
2.08,0.0688,,,,,
2.09,0.0935,,,,,
2.11,0.0561,,,,,
2.12,0.0636,,,,,
2.13,0.0648,,,,,
2.15,0.0948,,,,,
2.16,0.07,,,,,
2.18,0.0717,,,,,
2.19,0.071,,,,,
2.21,0.0524,,,,,
2.22,0.0822,,,,,
2.24,0.0597,,,,,
2.25,0.0502,,,,,
2.27,0.0504,,,,,
2.28,0.0599,,,,,
2.29,0.0663,,,,,
2.31,0.0607,,,,,
2.32,0.0827,,,,,
2.34,0.0663,,,,,
2.35,0.0601,,,,,
2.37,0.0691,,,,,
2.38,0.0341,,,,,
2.4,0.0645,,,,,
2.41,0.0576,,,,,
2.43,0.0699,,,,,
2.44,0.0873,,,,,
2.45,0.0739,,,,,
2.47,0.0497,,,,,
2.48,0.0649,,,,,
2.5,0.0466,,,,,
2.51,0.0645,,,,,
2.53,0.0697,,,,,
2.54,0.0585,,,,,
2.56,0.055,,,,,
2.57,0.0544,,,,,
2.58,0.0464,,,,,
2.6,0.062,,,,,
2.61,0.0535,,,,,
2.63,0.0764,,,,,
2.64,0.0647,,,,,
2.66,0.0671,,,,,
2.67,0.0606,,,,,
2.69,0.0553,,,,,
2.7,0.0411,,,,,
2.72,0.0578,,,,,
2.73,0.0737,,,,,
2.74,0.0464,,,,,
2.76,0.0577,,,,,
2.77,0.0508,,,,,
2.79,0.0701,,,,,
2.8,0.0592,,,,,
2.82,0.0785,,,,,
2.83,0.0534,,,,,
2.85,0.0675,,,,,
2.86,0.0738,,,,,
2.88,0.0692,,,,,
2.89,0.0539,,,,,
2.9,0.0585,,,,,
2.92,0.0576,,,,,
2.93,0.0645,,,,,
2.95,0.0681,,,,,
2.96,0.0596,,,,,
2.98,0.0417,,,,,
2.99,0.0477,,,,,
3.0,,0.24945339560508728,0.5291813552683118,0.5985821887461231,0.5617463617463617,0.9449559022561982
3.01,0.084,,,,,
3.02,0.044,,,,,
3.04,0.0406,,,,,
3.05,0.0527,,,,,
3.06,0.0403,,,,,
3.08,0.0529,,,,,
3.09,0.057,,,,,
3.11,0.0256,,,,,
3.12,0.0362,,,,,
3.14,0.0341,,,,,
3.15,0.0456,,,,,
3.17,0.0349,,,,,
3.18,0.0631,,,,,
3.19,0.0402,,,,,
3.21,0.0488,,,,,
3.22,0.0342,,,,,
3.24,0.029,,,,,
3.25,0.0377,,,,,
3.27,0.0649,,,,,
3.28,0.0555,,,,,
3.3,0.0413,,,,,
3.31,0.0525,,,,,
3.33,0.0395,,,,,
