epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.03,0.4735,,,,,
0.06,0.1879,,,,,
0.09,0.1662,,,,,
0.12,0.1289,,,,,
0.15,0.1548,,,,,
0.18,0.0943,,,,,
0.21,0.131,,,,,
0.24,0.1291,,,,,
0.27,0.1017,,,,,
0.3,0.1174,,,,,
0.33,0.0975,,,,,
0.36,0.0733,,,,,
0.39,0.1108,,,,,
0.42,0.0914,,,,,
0.45,0.1068,,,,,
0.48,0.0819,,,,,
0.51,0.0923,,,,,
0.54,0.0958,,,,,
0.57,0.0833,,,,,
0.6,0.0889,,,,,
0.63,0.104,,,,,
0.66,0.0785,,,,,
0.69,0.0744,,,,,
0.72,0.0878,,,,,
0.75,0.0892,,,,,
0.78,0.0814,,,,,
0.81,0.0916,,,,,
0.84,0.0708,,,,,
0.87,0.095,,,,,
0.9,0.0825,,,,,
0.93,0.0798,,,,,
0.96,0.0579,,,,,
0.99,0.0958,,,,,
1.0,,0.1278093457221985,0.5475020475020475,0.6033393501805054,0.5740661227994848,0.9527956278902168
1.02,0.0578,,,,,
1.05,0.0511,,,,,
1.08,0.0491,,,,,
1.11,0.0785,,,,,
1.14,0.0604,,,,,
1.17,0.0642,,,,,
1.2,0.0521,,,,,
1.23,0.0473,,,,,
1.26,0.0684,,,,,
1.29,0.0622,,,,,
1.32,0.0378,,,,,
1.35,0.0603,,,,,
1.38,0.0464,,,,,
1.41,0.0566,,,,,
1.44,0.0631,,,,,
1.47,0.0539,,,,,
1.5,0.0489,,,,,
1.53,0.0545,,,,,
1.57,0.0569,,,,,
1.6,0.0636,,,,,
1.63,0.0647,,,,,
1.66,0.0557,,,,,
1.69,0.0495,,,,,
1.72,0.0604,,,,,
1.75,0.059,,,,,
1.78,0.0684,,,,,
1.81,0.0632,,,,,
1.84,0.0682,,,,,
1.87,0.0492,,,,,
1.9,0.0626,,,,,
1.93,0.0532,,,,,
1.96,0.0549,,,,,
