epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,0.5971,,,,,
0.04,0.2169,,,,,
0.06,0.1492,,,,,
0.08,0.0901,,,,,
0.1,0.1005,,,,,
0.11,0.0934,,,,,
0.13,0.097,,,,,
0.15,0.0851,,,,,
0.17,0.1191,,,,,
0.19,0.0902,,,,,
0.21,0.0707,,,,,
0.23,0.0884,,,,,
0.25,0.0722,,,,,
0.27,0.1016,,,,,
0.29,0.075,,,,,
0.3,0.0724,,,,,
0.32,0.0964,,,,,
0.34,0.0981,,,,,
0.36,0.0726,,,,,
0.38,0.0702,,,,,
0.4,0.0574,,,,,
0.42,0.0905,,,,,
0.44,0.1,,,,,
0.46,0.0715,,,,,
0.48,0.0694,,,,,
0.5,0.0924,,,,,
0.51,0.0641,,,,,
0.53,0.0614,,,,,
0.55,0.0805,,,,,
0.57,0.0792,,,,,
0.59,0.0541,,,,,
0.61,0.0514,,,,,
0.63,0.0706,,,,,
0.65,0.067,,,,,
0.67,0.0549,,,,,
0.69,0.0859,,,,,
0.7,0.054,,,,,
0.72,0.0723,,,,,
0.74,0.0611,,,,,
0.76,0.0708,,,,,
0.78,0.0629,,,,,
0.8,0.0648,,,,,
0.82,0.0649,,,,,
0.84,0.05,,,,,
0.86,0.0694,,,,,
0.88,0.0628,,,,,
0.9,0.0549,,,,,
0.91,0.0689,,,,,
0.93,0.0607,,,,,
0.95,0.0499,,,,,
0.97,0.0469,,,,,
0.99,0.053,,,,,
1.0,,0.1501651257276535,0.5389121338912134,0.6052631578947368,0.5701637892872953,0.9471382674916706
1.01,0.0481,,,,,
1.03,0.0218,,,,,
1.05,0.0624,,,,,
1.07,0.0249,,,,,
1.09,0.049,,,,,
1.11,0.0491,,,,,
1.12,0.0436,,,,,
1.14,0.0331,,,,,
1.16,0.0563,,,,,
1.18,0.0424,,,,,
1.2,0.0405,,,,,
1.22,0.037,,,,,
1.24,0.0429,,,,,
1.26,0.0446,,,,,
1.28,0.0473,,,,,
1.3,0.0259,,,,,
1.31,0.0456,,,,,
1.33,0.0366,,,,,
1.35,0.0377,,,,,
1.37,0.0464,,,,,
1.39,0.0462,,,,,
1.41,0.0303,,,,,
1.43,0.032,,,,,
1.45,0.0635,,,,,
1.47,0.0409,,,,,
1.49,0.0578,,,,,
1.51,0.0379,,,,,
1.52,0.0403,,,,,
1.54,0.058,,,,,
1.56,0.042,,,,,
1.58,0.0318,,,,,
1.6,0.0464,,,,,
1.62,0.0344,,,,,
1.64,0.0353,,,,,
1.66,0.0543,,,,,
1.68,0.0637,,,,,
1.7,0.031,,,,,
1.71,0.0367,,,,,
1.73,0.0252,,,,,
1.75,0.0534,,,,,
1.77,0.0333,,,,,
1.79,0.0412,,,,,
1.81,0.0234,,,,,
1.83,0.0455,,,,,
1.85,0.0464,,,,,
1.87,0.0458,,,,,
1.89,0.0372,,,,,
1.91,0.0441,,,,,
1.92,0.0567,,,,,
1.94,0.033,,,,,
1.96,0.0454,,,,,
1.98,0.0446,,,,,
2.0,0.0404,0.14708375930786133,0.5848434925864909,0.6672932330827067,0.623353819139596,0.9495478343645883
2.02,0.0239,,,,,
2.04,0.0249,,,,,
2.06,0.0329,,,,,
2.08,0.0232,,,,,
2.1,0.0261,,,,,
2.11,0.0208,,,,,
2.13,0.0194,,,,,
2.15,0.0175,,,,,
2.17,0.0133,,,,,
2.19,0.0235,,,,,
2.21,0.0478,,,,,
2.23,0.0144,,,,,
2.25,0.0191,,,,,
2.27,0.0183,,,,,
2.29,0.0294,,,,,
2.31,0.0351,,,,,
2.32,0.0276,,,,,
2.34,0.041,,,,,
2.36,0.0331,,,,,
2.38,0.0116,,,,,
2.4,0.0421,,,,,
2.42,0.0185,,,,,
2.44,0.0094,,,,,
2.46,0.0096,,,,,
2.48,0.0363,,,,,
2.5,0.0267,,,,,
2.51,0.0125,,,,,
2.53,0.0407,,,,,
2.55,0.0478,,,,,
2.57,0.0288,,,,,
2.59,0.0157,,,,,
2.61,0.0209,,,,,
2.63,0.0345,,,,,
2.65,0.0232,,,,,
2.67,0.0282,,,,,
2.69,0.0402,,,,,
2.71,0.0325,,,,,
2.72,0.0157,,,,,
2.74,0.0127,,,,,
2.76,0.0289,,,,,
2.78,0.0301,,,,,
2.8,0.016,,,,,
2.82,0.0142,,,,,
2.84,0.028,,,,,
2.86,0.0274,,,,,
2.88,0.0242,,,,,
2.9,0.0193,,,,,
2.91,0.0213,,,,,
2.93,0.022,,,,,
2.95,0.0262,,,,,
2.97,0.0387,,,,,
2.99,0.0345,,,,,
3.0,,0.1625584363937378,0.5904605263157895,0.674812030075188,0.6298245614035088,0.9542182294145645
3.01,0.0269,,,,,
3.03,0.0109,,,,,
3.05,0.0139,,,,,
3.07,0.0141,,,,,
3.09,0.0151,,,,,
3.11,0.0186,,,,,
3.12,0.0162,,,,,
3.14,0.0093,,,,,
3.16,0.0081,,,,,
3.18,0.006,,,,,
3.2,0.0155,,,,,
3.22,0.0096,,,,,
3.24,0.0157,,,,,
3.26,0.0101,,,,,
3.28,0.0129,,,,,
3.3,0.0126,,,,,
3.32,0.0061,,,,,
3.33,0.0152,,,,,
3.35,0.0145,,,,,
3.37,0.0098,,,,,
3.39,0.0192,,,,,
3.41,0.0111,,,,,
3.43,0.0155,,,,,
3.45,0.0125,,,,,
3.47,0.0208,,,,,
3.49,0.0106,,,,,
3.51,0.01,,,,,
3.52,0.0159,,,,,
3.54,0.0109,,,,,
3.56,0.0216,,,,,
3.58,0.0119,,,,,
3.6,0.0083,,,,,
3.62,0.03,,,,,
3.64,0.0137,,,,,
3.66,0.011,,,,,
3.68,0.0104,,,,,
3.7,0.0273,,,,,
3.72,0.0084,,,,,
3.73,0.0109,,,,,
3.75,0.0276,,,,,
3.77,0.0196,,,,,
3.79,0.0143,,,,,
3.81,0.0189,,,,,
3.83,0.0052,,,,,
3.85,0.007,,,,,
3.87,0.008,,,,,
3.89,0.0159,,,,,
3.91,0.0225,,,,,
3.92,0.0115,,,,,
3.94,0.0178,,,,,
3.96,0.0056,,,,,
3.98,0.0182,,,,,
4.0,0.0126,0.20061936974525452,0.6309834638816362,0.681390977443609,0.6552191595119746,0.9539802475011899
4.02,0.0047,,,,,
4.04,0.0081,,,,,
4.06,0.0077,,,,,
4.08,0.0047,,,,,
4.1,0.0072,,,,,
4.12,0.0092,,,,,
4.13,0.0021,,,,,
4.15,0.01,,,,,
4.17,0.0168,,,,,
4.19,0.0035,,,,,
4.21,0.004,,,,,
4.23,0.0179,,,,,
4.25,0.016,,,,,
4.27,0.0262,,,,,
4.29,0.0021,,,,,
4.31,0.0077,,,,,
4.32,0.0085,,,,,
4.34,0.0044,,,,,
4.36,0.0121,,,,,
4.38,0.0075,,,,,
4.4,0.0072,,,,,
4.42,0.0088,,,,,
4.44,0.0154,,,,,
4.46,0.0029,,,,,
4.48,0.0233,,,,,
4.5,0.0025,,,,,
4.52,0.0064,,,,,
4.53,0.01,,,,,
4.55,0.0126,,,,,
4.57,0.0096,,,,,
4.59,0.0069,,,,,
