entity,precision,recall,f1
aeroway,0.36363636363636365,0.47058823529411764,0.41025641025641024
amenity,0.3424657534246575,0.4424778761061947,0.3861003861003861
boundary,0.6617238183503243,0.6993143976493633,0.6799999999999999
bridge,0.0,0.0,0.0
building,0.40425531914893614,0.4634146341463415,0.4318181818181818
healthcare,0.0,0.0,0.0
highway,0.5623869801084991,0.6533613445378151,0.6044703595724004
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.1111111111111111,0.09090909090909091,0.09999999999999999
leisure,0.37681159420289856,0.6046511627906976,0.46428571428571425
man_made,0.3333333333333333,0.2857142857142857,0.30769230769230765
natural,0.5416666666666666,0.5416666666666666,0.5416666666666666
office,0.125,0.2,0.15384615384615385
place,0.33886255924170616,0.43202416918429004,0.37981407702523245
railway,0.42857142857142855,0.3333333333333333,0.375
shop,0.3333333333333333,0.3333333333333333,0.3333333333333333
tourism,0.4,0.26666666666666666,0.32
tunnel,0.0,0.0,0.0
waterway,0.627906976744186,0.75,0.6835443037974683
