epoch,train_loss,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.06,1.7175,,,,,
0.12,0.5473,,,,,
0.18,0.4657,,,,,
0.24,0.4025,,,,,
0.3,0.3758,,,,,
0.36,0.3596,,,,,
0.42,0.2873,,,,,
0.48,0.2576,,,,,
0.54,0.2648,,,,,
0.6,0.2783,,,,,
0.66,0.2717,,,,,
0.72,0.2565,,,,,
0.78,0.2646,,,,,
0.84,0.2347,,,,,
0.9,0.2242,,,,,
0.96,0.2023,,,,,
1.0,,0.3077811300754547,0.2638157894736842,0.3523725834797891,0.30173062452972155,0.9130807424045395
1.02,0.2251,,,,,
1.08,0.2153,,,,,
1.14,0.1863,,,,,
1.2,0.1833,,,,,
1.26,0.1674,,,,,
1.32,0.1863,,,,,
1.38,0.1735,,,,,
1.44,0.1729,,,,,
1.5,0.1622,,,,,
1.56,0.1591,,,,,
1.62,0.1964,,,,,
1.68,0.1802,,,,,
1.74,0.1638,,,,,
1.8,0.1712,,,,,
1.86,0.1773,,,,,
1.92,0.179,,,,,
1.98,0.1994,,,,,
2.0,,0.27515658736228943,0.3361581920903955,0.4182776801405975,0.3727486296006265,0.9232474287740867
2.05,0.1363,,,,,
2.11,0.12,,,,,
2.17,0.1097,,,,,
2.23,0.132,,,,,
2.29,0.1315,,,,,
2.35,0.1515,,,,,
2.41,0.1228,,,,,
2.47,0.1405,,,,,
2.53,0.1357,,,,,
2.59,0.1064,,,,,
2.65,0.1261,,,,,
2.71,0.1257,,,,,
2.77,0.1237,,,,,
2.83,0.1425,,,,,
2.89,0.1194,,,,,
2.95,0.1238,,,,,
3.0,,0.26908689737319946,0.3801765105227427,0.492091388400703,0.42895442359249325,0.9276214682586594
3.01,0.1194,,,,,
3.07,0.0871,,,,,
3.13,0.0889,,,,,
3.19,0.0867,,,,,
3.25,0.0794,,,,,
3.31,0.0856,,,,,
3.37,0.095,,,,,
3.43,0.1186,,,,,
3.49,0.1037,,,,,
3.55,0.0999,,,,,
3.61,0.0929,,,,,
3.67,0.0998,,,,,
3.73,0.0967,,,,,
3.79,0.0906,,,,,
3.85,0.0866,,,,,
3.91,0.0951,,,,,
3.97,0.0804,,,,,
4.0,,0.2813454866409302,0.42043795620437957,0.5061511423550088,0.45933014354066987,0.9276510225795012
4.03,0.0848,,,,,
4.09,0.0663,,,,,
4.15,0.0649,,,,,
4.21,0.0774,,,,,
4.27,0.0764,,,,,
4.33,0.0677,,,,,
4.39,0.0639,,,,,
4.45,0.0583,,,,,
4.51,0.0695,,,,,
4.57,0.0689,,,,,
4.63,0.0673,,,,,
4.69,0.0599,,,,,
4.75,0.067,,,,,
4.81,0.0544,,,,,
4.87,0.0606,,,,,
4.93,0.0686,,,,,
4.99,0.0577,,,,,
5.0,,0.3037066161632538,0.4383561643835616,0.5342706502636204,0.48158415841584157,0.9321728336682823
5.05,0.0384,,,,,
5.11,0.0582,,,,,
5.17,0.0441,,,,,
5.23,0.0417,,,,,
5.29,0.0439,,,,,
5.35,0.0413,,,,,
5.41,0.0494,,,,,
5.47,0.053,,,,,
5.53,0.0431,,,,,
5.59,0.0529,,,,,
5.65,0.0336,,,,,
5.71,0.0542,,,,,
5.77,0.044,,,,,
5.83,0.0433,,,,,
5.89,0.0577,,,,,
5.95,0.0424,,,,,
6.0,,0.3205115497112274,0.46205860255447034,0.5404217926186292,0.49817739975698666,0.9339460929187847
6.02,0.0428,,,,,
6.08,0.0426,,,,,
6.14,0.0273,,,,,
6.2,0.0375,,,,,
6.26,0.0448,,,,,
6.32,0.0381,,,,,
6.38,0.0294,,,,,
6.44,0.029,,,,,
6.5,0.0419,,,,,
6.56,0.0314,,,,,
6.62,0.034,,,,,
6.68,0.0344,,,,,
6.74,0.0333,,,,,
6.8,0.029,,,,,
6.86,0.0315,,,,,
6.92,0.0407,,,,,
6.98,0.0396,,,,,
7.0,,0.344169944524765,0.46096096096096095,0.539543057996485,0.49716599190283395,0.9327639200851164
7.04,0.0329,,,,,
7.1,0.0223,,,,,
7.16,0.0256,,,,,
7.22,0.0226,,,,,
7.28,0.0237,,,,,
7.34,0.0263,,,,,
7.4,0.0234,,,,,
7.46,0.0226,,,,,
7.52,0.0234,,,,,
7.58,0.0217,,,,,
7.64,0.0245,,,,,
7.7,0.0287,,,,,
7.76,0.0224,,,,,
7.82,0.02,,,,,
7.88,0.0203,,,,,
7.94,0.0277,,,,,
8.0,0.0239,0.3560747802257538,0.4579863739591219,0.531634446397188,0.4920699471329809,0.9346849509398274
8.06,0.0163,,,,,
8.12,0.0189,,,,,
8.18,0.0206,,,,,
8.24,0.0248,,,,,
8.3,0.0126,,,,,
8.36,0.0153,,,,,
8.42,0.0148,,,,,
8.48,0.0141,,,,,
8.54,0.0236,,,,,
8.6,0.0192,,,,,
8.66,0.0181,,,,,
8.72,0.0155,,,,,
8.78,0.0196,,,,,
8.84,0.0286,,,,,
8.9,0.0278,,,,,
8.96,0.0215,,,,,
9.0,,0.36037060618400574,0.48619631901840493,0.5571177504393673,0.5192465192465192,0.9342711904480435
9.02,0.0157,,,,,
9.08,0.0133,,,,,
9.14,0.0189,,,,,
9.2,0.0155,,,,,
9.26,0.0146,,,,,
9.32,0.0153,,,,,
9.38,0.0155,,,,,
9.44,0.0107,,,,,
9.5,0.0128,,,,,
9.56,0.0118,,,,,
9.62,0.0103,,,,,
9.68,0.0118,,,,,
9.74,0.0168,,,,,
9.8,0.0097,,,,,
9.86,0.0153,,,,,
9.92,0.0198,,,,,
9.98,0.0137,,,,,
10.0,,0.3756487965583801,0.4695970695970696,0.5632688927943761,0.5121853775469436,0.9343007447688852
10.05,0.0069,,,,,
10.11,0.0055,,,,,
10.17,0.0076,,,,,
10.23,0.0113,,,,,
10.29,0.0101,,,,,
10.35,0.0163,,,,,
10.41,0.0093,,,,,
10.47,0.0126,,,,,
10.53,0.0091,,,,,
10.59,0.0114,,,,,
10.65,0.0109,,,,,
10.71,0.0089,,,,,
10.77,0.0106,,,,,
10.83,0.0101,,,,,
10.89,0.0098,,,,,
10.95,0.0108,,,,,
11.0,,0.40799760818481445,0.47336834208552137,0.554481546572935,0.5107244030756778,0.9334732237853174
11.01,0.0097,,,,,
11.07,0.0068,,,,,
11.13,0.007,,,,,
11.19,0.0107,,,,,
11.25,0.0104,,,,,
11.31,0.0074,,,,,
11.37,0.0097,,,,,
11.43,0.0109,,,,,
11.49,0.0146,,,,,
11.55,0.0083,,,,,
11.61,0.0061,,,,,
11.67,0.0066,,,,,
11.73,0.0103,,,,,
11.79,0.0128,,,,,
11.85,0.0133,,,,,
11.91,0.0084,,,,,
11.97,0.0054,,,,,
12.0,,0.4068675935268402,0.4663710273466371,0.554481546572935,0.5066238458450422,0.9339460929187847
