epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.02,1.7435,,,,,
0.04,0.6572,,,,,
0.06,0.5308,,,,,
0.08,0.4199,,,,,
0.11,0.4187,,,,,
0.13,0.4301,,,,,
0.15,0.3956,,,,,
0.17,0.3624,,,,,
0.19,0.3339,,,,,
0.21,0.3777,,,,,
0.23,0.3016,,,,,
0.25,0.314,,,,,
0.28,0.3378,,,,,
0.3,0.2942,,,,,
0.32,0.262,,,,,
0.34,0.2836,,,,,
0.36,0.2949,,,,,
0.38,0.3297,,,,,
0.4,0.2864,,,,,
0.42,0.2612,,,,,
0.45,0.2062,,,,,
0.47,0.2348,,,,,
0.49,0.2641,,,,,
0.51,0.2889,,,,,
0.53,0.2052,,,,,
0.55,0.3157,,,,,
0.57,0.2352,,,,,
0.59,0.2242,,,,,
0.62,0.2366,,,,,
0.64,0.2313,,,,,
0.66,0.2434,,,,,
0.68,0.2567,,,,,
0.7,0.1939,,,,,
0.72,0.2291,,,,,
0.74,0.2538,,,,,
0.76,0.2232,,,,,
0.78,0.2561,,,,,
0.81,0.1902,,,,,
0.83,0.2176,,,,,
0.85,0.2773,,,,,
0.87,0.1764,,,,,
0.89,0.2448,,,,,
0.91,0.2415,,,,,
0.93,0.2212,,,,,
0.95,0.2406,,,,,
0.98,0.2125,,,,,
1.0,0.2013,0.2751925587654114,0.4352088661551577,0.4556001784917448,0.44517113581861784,0.9271104499814057
1.02,0.2087,,,,,
1.04,0.1478,,,,,
1.06,0.1434,,,,,
1.08,0.213,,,,,
1.1,0.1805,,,,,
1.12,0.1446,,,,,
1.15,0.1391,,,,,
1.17,0.1866,,,,,
1.19,0.1341,,,,,
1.21,0.1739,,,,,
1.23,0.1598,,,,,
1.25,0.1448,,,,,
1.27,0.1681,,,,,
1.29,0.1774,,,,,
1.31,0.1843,,,,,
1.34,0.1521,,,,,
1.36,0.1861,,,,,
1.38,0.1747,,,,,
1.4,0.1513,,,,,
1.42,0.1637,,,,,
1.44,0.1831,,,,,
1.46,0.1717,,,,,
1.48,0.1498,,,,,
1.51,0.1568,,,,,
1.53,0.1519,,,,,
1.55,0.1398,,,,,
1.57,0.2077,,,,,
1.59,0.1792,,,,,
1.61,0.1578,,,,,
1.63,0.1507,,,,,
1.65,0.1819,,,,,
1.68,0.1702,,,,,
1.7,0.1496,,,,,
1.72,0.1659,,,,,
1.74,0.183,,,,,
1.76,0.2014,,,,,
1.78,0.2006,,,,,
1.8,0.1435,,,,,
1.82,0.1477,,,,,
1.85,0.1585,,,,,
1.87,0.1351,,,,,
1.89,0.1563,,,,,
1.91,0.1919,,,,,
1.93,0.17,,,,,
1.95,0.1313,,,,,
1.97,0.1697,,,,,
1.99,0.202,,,,,
2.0,,0.24772921204566956,0.43829787234042555,0.5515394912985274,0.4884410195613515,0.9314540721457791
2.01,0.1309,,,,,
2.04,0.1209,,,,,
2.06,0.1192,,,,,
2.08,0.1392,,,,,
2.1,0.1282,,,,,
2.12,0.1473,,,,,
2.14,0.1486,,,,,
2.16,0.1135,,,,,
2.18,0.1092,,,,,
2.21,0.0954,,,,,
2.23,0.1123,,,,,
2.25,0.0976,,,,,
2.27,0.1206,,,,,
2.29,0.1175,,,,,
2.31,0.1267,,,,,
2.33,0.1252,,,,,
2.35,0.0837,,,,,
2.38,0.1353,,,,,
2.4,0.0993,,,,,
2.42,0.1131,,,,,
2.44,0.1145,,,,,
2.46,0.1291,,,,,
2.48,0.0811,,,,,
2.5,0.1033,,,,,
2.52,0.1325,,,,,
2.55,0.1022,,,,,
2.57,0.0875,,,,,
2.59,0.1067,,,,,
2.61,0.0907,,,,,
2.63,0.1073,,,,,
2.65,0.1569,,,,,
2.67,0.1643,,,,,
2.69,0.1515,,,,,
2.71,0.0793,,,,,
2.74,0.1064,,,,,
2.76,0.1212,,,,,
2.78,0.1037,,,,,
2.8,0.0983,,,,,
2.82,0.131,,,,,
2.84,0.0963,,,,,
2.86,0.1095,,,,,
2.88,0.118,,,,,
2.91,0.1064,,,,,
2.93,0.1046,,,,,
2.95,0.0961,,,,,
2.97,0.0849,,,,,
2.99,0.0908,,,,,
3.0,,0.2616153955459595,0.4809217982621836,0.5680499776885319,0.5208674304418985,0.9372554853105244
3.01,0.1031,,,,,
3.03,0.0836,,,,,
3.05,0.0654,,,,,
3.08,0.0581,,,,,
3.1,0.0919,,,,,
3.12,0.0732,,,,,
3.14,0.0695,,,,,
3.16,0.0801,,,,,
3.18,0.0837,,,,,
3.2,0.0662,,,,,
3.22,0.0642,,,,,
3.24,0.0779,,,,,
3.27,0.0859,,,,,
3.29,0.0896,,,,,
3.31,0.0644,,,,,
3.33,0.0669,,,,,
3.35,0.0805,,,,,
3.37,0.0724,,,,,
3.39,0.0951,,,,,
3.41,0.0859,,,,,
3.44,0.0794,,,,,
3.46,0.0779,,,,,
3.48,0.0711,,,,,
3.5,0.0669,,,,,
3.52,0.077,,,,,
3.54,0.0534,,,,,
3.56,0.0696,,,,,
3.58,0.0515,,,,,
3.61,0.0694,,,,,
3.63,0.0831,,,,,
3.65,0.0914,,,,,
3.67,0.0906,,,,,
3.69,0.0729,,,,,
3.71,0.079,,,,,
3.73,0.0628,,,,,
3.75,0.0854,,,,,
3.78,0.0714,,,,,
3.8,0.0799,,,,,
3.82,0.0836,,,,,
3.84,0.0943,,,,,
3.86,0.1037,,,,,
3.88,0.0678,,,,,
3.9,0.0628,,,,,
3.92,0.0778,,,,,
3.94,0.0592,,,,,
3.97,0.1094,,,,,
3.99,0.0774,,,,,
4.0,,0.25858965516090393,0.49102468212415856,0.5858991521642124,0.5342828077314343,0.9410040907400521
4.01,0.0722,,,,,
4.03,0.0462,,,,,
4.05,0.0601,,,,,
4.07,0.056,,,,,
4.09,0.0536,,,,,
4.11,0.0561,,,,,
4.14,0.0488,,,,,
4.16,0.0428,,,,,
4.18,0.0353,,,,,
4.2,0.0475,,,,,
4.22,0.0512,,,,,
4.24,0.0499,,,,,
4.26,0.0826,,,,,
4.28,0.0481,,,,,
4.31,0.0558,,,,,
4.33,0.0505,,,,,
4.35,0.0346,,,,,
4.37,0.0434,,,,,
4.39,0.046,,,,,
4.41,0.071,,,,,
4.43,0.0364,,,,,
4.45,0.0455,,,,,
4.48,0.0577,,,,,
4.5,0.0594,,,,,
4.52,0.0559,,,,,
4.54,0.0463,,,,,
4.56,0.0646,,,,,
4.58,0.0571,,,,,
4.6,0.0566,,,,,
4.62,0.0517,,,,,
4.64,0.0482,,,,,
4.67,0.0765,,,,,
4.69,0.0446,,,,,
4.71,0.0423,,,,,
4.73,0.0581,,,,,
4.75,0.0511,,,,,
4.77,0.0327,,,,,
4.79,0.0675,,,,,
4.81,0.0485,,,,,
4.84,0.0448,,,,,
4.86,0.0431,,,,,
4.88,0.0487,,,,,
4.9,0.0513,,,,,
4.92,0.0577,,,,,
4.94,0.0615,,,,,
4.96,0.0847,,,,,
4.98,0.0495,,,,,
5.0,,0.27841776609420776,0.5017103762827823,0.5890227576974565,0.5418719211822661,0.9404983265154332
5.01,0.0704,,,,,
5.03,0.0405,,,,,
5.05,0.0296,,,,,
5.07,0.0402,,,,,
