entity,precision,recall,f1
aeroway,0.09090909090909091,0.25,0.13333333333333333
amenity,0.34615384615384615,0.4,0.3711340206185567
boundary,0.5569852941176471,0.591796875,0.5738636363636364
bridge,0.0,0.0,0.0
building,0.4,0.46153846153846156,0.42857142857142855
club,0.0,0.0,0.0
highway,0.49244712990936557,0.6392156862745098,0.5563139931740615
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.15384615384615385,0.2857142857142857,0.2
leisure,0.3,0.4090909090909091,0.34615384615384615
man_made,0.2,0.5,0.28571428571428575
natural,0.34210526315789475,0.43333333333333335,0.3823529411764707
office,0.0,0.0,0.0
place,0.25824175824175827,0.29375,0.27485380116959063
railway,0.4,0.5,0.4444444444444445
shop,0.0,0.0,0.0
tourism,0.0,0.0,0.0
waterway,0.5833333333333334,0.7368421052631579,0.6511627906976745
