entity,precision,recall,f1
aeroway,0.26666666666666666,0.36363636363636365,0.30769230769230765
amenity,0.35833333333333334,0.5,0.4174757281553398
boundary,0.6236286919831223,0.7188715953307393,0.6678716674197921
bridge,0.0,0.0,0.0
building,0.475,0.4634146341463415,0.4691358024691358
club,0.0,0.0,0.0
highway,0.5927927927927928,0.6783505154639176,0.6326923076923078
historic,0.0,0.0,0.0
junction,0.0,0.0,0.0
landuse,0.14285714285714285,0.17647058823529413,0.15789473684210528
leisure,0.4528301886792453,0.48,0.46601941747572817
man_made,0.14285714285714285,0.5,0.22222222222222224
military,0.0,0.0,0.0
natural,0.5423728813559322,0.64,0.5871559633027523
office,0.0,0.0,0.0
place,0.3724340175953079,0.3713450292397661,0.37188872620790625
railway,0.1111111111111111,0.25,0.15384615384615383
shop,0.2608695652173913,0.3157894736842105,0.28571428571428575
tourism,0.25,0.35714285714285715,0.2941176470588235
waterway,0.5163934426229508,0.7159090909090909,0.6
