epoch,train_loss_step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy
0.07,1.8496,,,,,
0.14,0.6834,,,,,
0.22,0.5513,,,,,
0.29,0.5116,,,,,
0.36,0.5103,,,,,
0.43,0.483,,,,,
0.5,0.4145,,,,,
0.57,0.3607,,,,,
0.65,0.4192,,,,,
0.72,0.3878,,,,,
0.79,0.422,,,,,
0.86,0.3815,,,,,
0.93,0.4089,,,,,
1.0,0.329,0.34119343757629395,0.27610208816705334,0.3299445471349353,0.3006315789473684,0.9114707282246549
1.08,0.2561,,,,,
1.15,0.3094,,,,,
1.22,0.3182,,,,,
1.29,0.2607,,,,,
1.36,0.2619,,,,,
1.43,0.2956,,,,,
1.51,0.264,,,,,
1.58,0.2249,,,,,
1.65,0.2827,,,,,
1.72,0.2757,,,,,
1.79,0.2893,,,,,
1.87,0.286,,,,,
1.94,0.2281,,,,,
2.0,,0.2923317551612854,0.3425559947299078,0.4805914972273567,0.4,0.9226261304140885
2.01,0.2277,,,,,
2.08,0.2058,,,,,
2.15,0.2496,,,,,
2.22,0.1758,,,,,
2.3,0.1936,,,,,
2.37,0.1931,,,,,
2.44,0.1632,,,,,
2.51,0.1489,,,,,
2.58,0.19,,,,,
2.65,0.1669,,,,,
2.73,0.1948,,,,,
2.8,0.1819,,,,,
2.87,0.1788,,,,,
2.94,0.2054,,,,,
3.0,,0.2889356315135956,0.40014214641080315,0.5203327171903882,0.4523905182804339,0.9260471204188482
3.01,0.1559,,,,,
3.09,0.14,,,,,
3.16,0.1485,,,,,
3.23,0.153,,,,,
3.3,0.1237,,,,,
3.37,0.0942,,,,,
3.44,0.1365,,,,,
3.52,0.1209,,,,,
3.59,0.1492,,,,,
3.66,0.1374,,,,,
3.73,0.1266,,,,,
3.8,0.1427,,,,,
3.87,0.1219,,,,,
3.95,0.1252,,,,,
4.0,,0.30013060569763184,0.4429530201342282,0.5489833641404805,0.49030127940569546,0.9298548310328415
4.02,0.1127,,,,,
4.09,0.0688,,,,,
4.16,0.0825,,,,,
4.23,0.1171,,,,,
4.3,0.0989,,,,,
4.38,0.0938,,,,,
4.45,0.0716,,,,,
4.52,0.1104,,,,,
4.59,0.0696,,,,,
4.66,0.0719,,,,,
4.74,0.1102,,,,,
4.81,0.107,,,,,
4.88,0.0811,,,,,
4.95,0.0793,,,,,
5.0,,0.3162042796611786,0.45182972367438384,0.5591497227356746,0.4997934737711689,0.9314909566872918
5.02,0.122,,,,,
5.09,0.0749,,,,,
5.17,0.0586,,,,,
5.24,0.0678,,,,,
5.31,0.0859,,,,,
5.38,0.0439,,,,,
5.45,0.0461,,,,,
5.52,0.0649,,,,,
5.6,0.0594,,,,,
5.67,0.0743,,,,,
5.74,0.0667,,,,,
5.81,0.084,,,,,
5.88,0.0724,,,,,
5.96,0.0673,,,,,
6.0,,0.3380585014820099,0.46384615384615385,0.5573012939001848,0.5062972292191436,0.9331865778200856
6.03,0.0562,,,,,
6.1,0.0451,,,,,
6.17,0.0519,,,,,
6.24,0.0504,,,,,
6.31,0.0645,,,,,
6.39,0.0328,,,,,
6.46,0.0592,,,,,
6.53,0.0402,,,,,
6.6,0.0423,,,,,
6.67,0.0509,,,,,
6.74,0.0586,,,,,
6.82,0.0353,,,,,
6.89,0.0556,,,,,
6.96,0.0419,,,,,
7.0,,0.36244097352027893,0.4631738800303721,0.5637707948243993,0.5085452271779908,0.932978343645883
7.03,0.0589,,,,,
7.1,0.0381,,,,,
7.17,0.0319,,,,,
7.25,0.043,,,,,
7.32,0.0281,,,,,
7.39,0.0402,,,,,
7.46,0.0335,,,,,
7.53,0.0414,,,,,
7.61,0.0325,,,,,
7.68,0.0343,,,,,
7.75,0.029,,,,,
7.82,0.0431,,,,,
7.89,0.0486,,,,,
7.96,0.0279,,,,,
8.0,,0.3641962707042694,0.47104851330203446,0.55637707948244,0.5101694915254238,0.9321454069490719
8.04,0.0271,,,,,
8.11,0.0433,,,,,
8.18,0.0207,,,,,
8.25,0.0325,,,,,
8.32,0.0175,,,,,
8.39,0.0268,,,,,
8.47,0.031,,,,,
8.54,0.0266,,,,,
8.61,0.0265,,,,,
8.68,0.0333,,,,,
8.75,0.0225,,,,,
8.83,0.0207,,,,,
8.9,0.0203,,,,,
8.97,0.0273,,,,,
9.0,,0.3984634578227997,0.47900466562986005,0.5693160813308688,0.5202702702702703,0.9340790099952404
9.04,0.023,,,,,
9.11,0.0152,,,,,
9.18,0.0147,,,,,
9.26,0.018,,,,,
9.33,0.0139,,,,,
9.4,0.0221,,,,,
9.47,0.0164,,,,,
9.54,0.0344,,,,,
9.61,0.0211,,,,,
9.69,0.018,,,,,
9.76,0.0236,,,,,
9.83,0.0274,,,,,
9.9,0.024,,,,,
9.97,0.0204,,,,,
10.0,,0.3904782831668854,0.49140625,0.5813308687615527,0.5325994919559696,0.934138505473584
10.04,0.0149,,,,,
10.12,0.0256,,,,,
10.19,0.0163,,,,,
10.26,0.0145,,,,,
10.33,0.0193,,,,,
10.4,0.0164,,,,,
10.48,0.0107,,,,,
10.55,0.0146,,,,,
10.62,0.0089,,,,,
10.69,0.0116,,,,,
10.76,0.0126,,,,,
10.83,0.0118,,,,,
10.91,0.0171,,,,,
10.98,0.0175,,,,,
11.0,,0.404342919588089,0.4831107619795758,0.5683918669131238,0.5222929936305732,0.9330973346025702
